DateTime,Luftfugtighed,Nedbør,Nedbørsminutter,Middeltemperatur,Maksimumtemperatur,Minimumtemperatur,Skyhøjde,Skydække,Middelvindhastighed,Højeste vindstød
2024-03-06 06:00:00,98,0.3,8,1.6,1.9,1.2,,0.0,3.4,6.2
2024-04-16 22:00:00,76,0.0,0,2.3,3.0,1.9,450.0,100.0,1.3,2.1
2024-04-06 23:00:00,90,0.0,0,11.9,12.2,11.6,1750.0,100.0,3.9,5.8
2024-04-13 07:00:00,86,0.0,0,9.8,10.6,9.1,800.0,60.0,4.6,7.7
2024-04-07 00:00:00,91,0.0,0,11.8,12.1,11.4,1250.0,100.0,3.3,4.5
2024-03-31 04:00:00,94,0.0,0,7.1,7.4,6.6,,,2.6,6.1
2024-03-31 19:00:00,88,0.0,0,8.2,8.6,7.7,,,1.1,2.4
2024-04-20 08:00:00,71,0.0,0,4.2,5.1,3.7,1250.0,75.0,2.1,4.6
2024-03-05 11:00:00,77,0.0,0,2.6,3.2,2.0,150.0,100.0,4.9,9.7
2024-03-16 16:00:00,67,0.0,0,5.4,5.6,5.1,2600.0,100.0,7.1,15.9
2024-03-08 17:00:00,96,0.0,0,0.1,0.5,-0.3,450.0,100.0,1.7,3.4
2024-04-14 04:00:00,78,0.0,0,6.7,7.0,6.5,800.0,75.0,5.7,12.4
2024-03-25 07:00:00,88,0.0,0,3.2,4.0,2.5,2600.0,90.0,2.1,5.4
2024-03-02 05:00:00,100,0.0,0,3.9,4.0,3.8,150.0,,2.9,5.9
2024-03-14 21:00:00,90,0.0,0,9.4,9.6,9.2,1250.0,60.0,3.6,6.5
