MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,MSIS,num_masked_target_values,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.2],Coverage[0.2],QuantileLoss[0.3],Coverage[0.3],QuantileLoss[0.4],Coverage[0.4],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.6],Coverage[0.6],QuantileLoss[0.7],Coverage[0.7],QuantileLoss[0.8],Coverage[0.8],QuantileLoss[0.9],Coverage[0.9],RMSE,NRMSE,ND,wQuantileLoss[0.1],wQuantileLoss[0.2],wQuantileLoss[0.3],wQuantileLoss[0.4],wQuantileLoss[0.5],wQuantileLoss[0.6],wQuantileLoss[0.7],wQuantileLoss[0.8],wQuantileLoss[0.9],mean_absolute_QuantileLoss,mean_wQuantileLoss,MAE_Coverage,OWA,context_length,rope_scaling,dataset,train_size,test_size,forecast_horizon
0.13622517585754396,3.753058910369873,4.846297740936279,0.48462977409362795,0.17811612556317102,2.107085418854345,0.7770179748535156,1.3183535575866698,7.130595713359211,0.0,1.3212190628051759,0.0,2.202448666095734,0.0,2.947116404771805,0.0,3.48559365272522,0.0,3.7530588507652283,0.0,3.856056421995163,0.0,3.35684865117073,0.0,2.7375663757324222,0.1,1.1996415615081788,0.5,0.36908694891250754,0.7615853763891978,0.7744177330806756,0.2726244101027774,0.4544600401852802,0.6081170745820577,0.719228128161152,0.7744177207816697,0.7956705568094529,0.692662488071194,0.5648778762824297,0.24753773408821025,2.7621721830632953,0.5699551143404693,0.2222222222222222,,512,False,climate,large,small,10
0.09848992824554444,3.580169916152954,4.846297740936279,0.48462977409362795,0.17811612556317102,2.0100200949426132,0.7451245307922363,1.2533404350280761,8.798116964059531,0.0,1.2721239447593689,0.0,2.190869390964508,0.0,2.855483150482178,0.0,3.3087039470672615,0.0,3.5801700204610825,0.0,3.6341789245605467,0.0,3.131281042098999,0.1,2.1086838841438293,0.4,1.3191990852355957,0.6,0.3138310504802615,0.6475686539631198,0.738743285603679,0.26249397225718146,0.4520707368964177,0.5892091867080609,0.6827281615652523,0.7387433071269394,0.7498876707188119,0.6461181729816814,0.4351123263294266,0.2722076017105654,2.6000770433081524,0.5365079040327042,0.23333333333333328,,950,False,climate,large,small,10
0.0795267629623413,10.938525199890137,10.978708267211914,0.2195741653442383,0.17788784132837487,1.2298226925693019,1.3393710327148438,1.6364506530761718,11.15389585504064,0.0,3.635805369913578,0.04,6.37189130783081,0.18,8.727845709770918,0.24,10.135309914499523,0.3,10.93852505646646,0.32,11.045382967591284,0.42,10.823011338338256,0.52,9.851260085403919,0.6,7.719125375896692,0.68,0.2820048988268489,1.2843264069100961,0.9963399093642205,0.3311687751802248,0.5803862487958228,0.7949792905816404,0.9231787262959511,0.996339896300418,1.0060730915474358,0.9858182834369824,0.8973059348725808,0.7030995986066941,8.805350791745717,0.8020388717353056,0.26,,32,True,climate,large,large,50
0.06759309291839599,10.132872581481934,10.978708267211914,0.2195741653442383,0.17788784132837487,1.1392428516547117,1.3305209350585938,1.5118960571289062,9.660672829118434,0.0,3.6635653719305994,0.06,6.102663686871528,0.22,8.11626731082797,0.24,9.45763155594468,0.26,10.132872743532062,0.38,10.332017739489675,0.46,9.771564297378065,0.52,8.382002662867306,0.62,5.678792465478182,0.74,0.25998671681144786,1.1840496645124559,0.9229567208506595,0.33369730598197017,0.5558635440835267,0.73927342937669,0.8614521240344865,0.9229567356110596,0.9410959366090826,0.8900468123887576,0.7634780393883213,0.5172550656472024,7.959708648257784,0.7250132214578997,0.288888888888889,,64,True,climate,large,large,50
0.07756380081176757,10.62746810913086,10.978708267211914,0.2195741653442383,0.17788784132837487,1.1948504214532478,1.2628012847900392,1.657942657470703,10.268135947043957,0.0,3.605426900088787,0.06,6.514023157954217,0.24,8.675587440282106,0.24,10.135518497973681,0.28,10.627467550337315,0.38,10.745614210516214,0.42,10.589036560058593,0.54,9.744976307451724,0.66,7.2189496293663975,0.66,0.27850278420828684,1.2683768319085398,0.9680071507929545,0.32840174019893137,0.5933323847768548,0.7902193253637939,0.9231977252044822,0.9680070998950226,0.9787685353301682,0.9645065978921143,0.8876250347734669,0.6575408922127847,8.650733361558782,0.7879554817386243,0.25333333333333335,,128,True,climate,large,large,50
0.07471647262573242,10.532280921936035,10.978708267211914,0.2195741653442383,0.17788784132837487,1.1841484885404623,1.3232159423828125,1.6628298950195313,9.596472597171461,0.0,3.772517915070057,0.08,6.428851294517518,0.18,8.510193428397178,0.28,9.760318164527417,0.28,10.532280791550875,0.42,10.716463682055473,0.5,10.338710417598486,0.62,9.321976746618748,0.66,6.864061561226845,0.76,0.2733431408060799,1.2448784235501709,0.9593369880672445,0.34362129161740657,0.5855744717907647,0.7751543461458945,0.8890224539144338,0.9593369761910605,0.9761133478753927,0.941705541850967,0.8490959518852486,0.6252157716701949,8.471708222395845,0.7716489058823738,0.30000000000000004,,256,True,climate,large,large,50
0.07854901313781738,10.95319652557373,10.978708267211914,0.2195741653442383,0.17788784132837487,1.2314721954891232,1.2079849243164062,1.7431546020507813,8.83717029081527,0.0,3.7331691011786465,0.08,6.640951010584832,0.22,9.035196442902087,0.28,10.333895679563284,0.32,10.953196452464908,0.34,11.078995926119385,0.42,10.760978687554598,0.56,9.541387759149076,0.62,6.987869979441166,0.68,0.28026596856881747,1.2764068492731344,0.9976762528872022,0.3400371892864496,0.6048936586117455,0.8229744540972862,0.9412669895260471,0.9976762462280561,1.0091347412160483,0.9801680148194147,0.8690810910464377,0.6364929105831649,8.785071226550887,0.8001916994905167,0.26,,512,True,climate,large,large,50
0.07037328720092774,10.568975448608398,10.978708267211914,0.2195741653442383,0.17788784132837487,1.1882740686136533,1.4284613037109375,1.6815113830566406,7.561666210344557,0.0,3.6328441858291627,0.1,6.459174853563309,0.24,8.453734806179998,0.28,9.815251150727272,0.32,10.56897489540279,0.4,10.488813588023188,0.44,9.85395878367126,0.62,8.406205615401268,0.68,5.954442080855369,0.82,0.2652796396275593,1.2081550632865485,0.9626793235933603,0.33089905455259333,0.5883365052019587,0.7700117901326525,0.8940260467655085,0.9626792732044078,0.9553777487054825,0.8975517468753827,0.7656825749260989,0.5423627202699615,8.181488884405958,0.7452141622926719,0.33777777777777773,,950,True,climate,large,large,50
0.09574907302856445,12.33677864074707,10.978708267211914,0.2195741653442383,0.17788784132837487,1.3870288771421762,1.6346554565429687,1.8148611450195313,10.504642756485488,0.0,3.961101676523686,0.04,6.8997042864561084,0.22,9.5486402310431,0.26,11.350556237995624,0.32,12.336778106167912,0.34,12.632254622876644,0.36,12.142427834123374,0.5,11.193204076588154,0.6,8.697961236536504,0.66,0.3094334710863782,1.4092435264470327,1.1237003789955011,0.36079851837884963,0.6284623034444029,0.8697416853274319,1.0338699200063672,1.1237003303031465,1.1506139261030437,1.1059978586357857,1.0195374359310407,0.79225725147585,9.862514256479011,0.8983310255117686,0.25333333333333335,,32,False,climate,large,large,50
0.0678785228729248,10.190475463867188,10.978708267211914,0.2195741653442383,0.17788784132837487,1.1457191663882096,1.466974334716797,1.4183566284179687,6.896046320077679,0.0,3.580757720768452,0.06,6.384461426734925,0.2,8.244677299261092,0.24,9.39503318965435,0.32,10.190475630108267,0.4,10.434165778756142,0.52,9.923883530497552,0.58,8.463976642489433,0.64,5.9153346173465255,0.76,0.26053507033204726,1.1865470144158003,0.9282035022554705,0.32615473820927016,0.5815312030653205,0.750969704139416,0.8557503269954596,0.9282035173976053,0.9504001313085205,0.9039208701933894,0.7709446718579118,0.5388006014343933,8.059196203957416,0.7340750849556985,0.30000000000000004,,64,False,climate,large,large,50
